PR_ms,QRS_ms,QT_ms,QTc_ms,n_beats
76.08333333333333,114.0,314.0,313.5833333333333,11.083333333333334
149.33333333333334,160.0,357.5,551.6363636363636,5.25
141.75,150.0,350.0,313.5,7.416666666666667
108.33333333333333,160.0,360.0,292.6666666666667,10.0
83.75,159.83333333333334,360.8333333333333,484.25,4.083333333333333
102.83333333333333,133.0,333.0,299.1,9.166666666666666
136.16666666666666,133.0,333.0,202.0,7.083333333333333
124.16666666666667,160.0,360.0,295.54545454545456,7.666666666666667
89.08333333333333,114.0,314.0,360.90909090909093,17.666666666666668
80.75,133.0,333.0,297.0833333333333,8.75
75.75,160.0,360.0,582.6666666666666,4.333333333333333
143.75,150.0,350.0,313.1666666666667,7.0
131.66666666666666,160.0,360.0,237.33333333333334,5.583333333333333
139.66666666666666,160.0,356.25,461.90909090909093,3.5
121.91666666666667,150.0,350.0,384.0,12.083333333333334
120.91666666666667,150.0,350.0,231.0909090909091,5.833333333333333
72.83333333333333,145.0,345.0,315.3333333333333,8.333333333333334
66.41666666666667,133.0,333.0,374.27272727272725,13.416666666666666
120.25,114.0,314.0,258.6666666666667,6.416666666666667
125.83333333333333,160.0,360.0,485.4166666666667,4.416666666666667
126.25,150.0,350.0,318.3333333333333,7.75
98.66666666666667,133.0,333.0,249.83333333333334,6.166666666666667
94.58333333333333,160.0,360.8333333333333,501.4166666666667,4.166666666666667
119.75,150.0,350.0,293.90909090909093,11.166666666666666
170.0,160.0,360.0,191.0909090909091,5.083333333333333
116.58333333333333,133.0,333.0,283.8333333333333,7.5
90.41666666666667,114.0,314.0,282.45454545454544,10.5
148.0,150.0,350.0,302.8181818181818,5.666666666666667
103.16666666666667,160.0,358.3333333333333,554.8333333333334,4.25
153.25,150.0,350.0,306.5,7.333333333333333
119.41666666666667,133.0,333.0,233.83333333333334,5.333333333333333
99.83333333333333,160.0,356.6666666666667,504.1818181818182,3.5
108.41666666666667,150.0,350.0,276.5,10.083333333333334
140.58333333333334,150.0,350.0,244.3,5.666666666666667
100.0,160.0,360.0,228.41666666666666,5.833333333333333
50.18181818181818,133.0,333.0,486.09090909090907,21.333333333333332
83.5,133.0,333.0,259.75,7.083333333333333
114.5,160.0,360.0,525.9090909090909,3.9166666666666665
137.58333333333334,150.0,350.0,293.5833333333333,7.333333333333333
118.33333333333333,160.0,360.0,256.0833333333333,6.166666666666667
103.5,160.0,361.25,509.4166666666667,4.333333333333333
127.16666666666667,150.0,350.0,289.75,8.75
109.16666666666667,133.0,333.0,234.33333333333334,6.75
131.41666666666666,133.0,333.0,251.08333333333334,8.083333333333334
101.66666666666667,160.0,360.0,370.5833333333333,13.25
114.41666666666667,114.0,314.0,279.9166666666667,8.166666666666666
108.66666666666667,160.0,360.0,542.5833333333334,4.5
141.66666666666666,150.0,350.0,304.4166666666667,7.416666666666667
120.0,160.0,360.0,252.0,6.5
104.0,160.0,356.6666666666667,521.4545454545455,4.0
127.33333333333333,114.0,314.0,221.25,8.166666666666666
116.66666666666667,133.0,333.0,214.91666666666666,6.75
108.33333333333333,133.0,333.0,242.66666666666666,6.5
65.58333333333333,133.0,333.0,399.45454545454544,16.083333333333332
136.16666666666666,133.0,333.0,334.5,7.0
118.08333333333333,160.0,360.0,529.1666666666666,5.083333333333333
152.16666666666666,150.0,350.0,295.1666666666667,6.916666666666667
116.58333333333333,133.0,333.0,238.66666666666666,5.333333333333333
125.16666666666667,160.0,357.0833333333333,530.5,3.5
110.33333333333333,133.0,333.0,268.3,8.916666666666666
136.08333333333334,133.0,333.0,246.54545454545453,4.75
138.0,145.0,345.0,261.0,6.083333333333333
121.0,150.0,350.0,251.1818181818182,7.0
145.91666666666666,150.0,350.0,349.0833333333333,9.583333333333334
135.75,160.0,359.3333333333333,540.6666666666666,4.333333333333333
140.75,150.0,350.0,303.25,7.583333333333333
96.66666666666667,160.0,360.0,295.0,10.0
139.16666666666666,160.0,360.0,550.5,4.916666666666667
123.08333333333333,150.0,350.0,297.27272727272725,9.5
133.25,133.0,333.0,196.4,5.25
123.08333333333333,133.0,333.0,264.90909090909093,6.916666666666667
109.41666666666667,114.0,314.0,243.75,7.0
79.75,114.0,314.0,304.0833333333333,9.5
95.0,160.0,360.0,547.8181818181819,4.5
151.16666666666666,150.0,350.0,304.1666666666667,7.083333333333333
111.66666666666667,160.0,360.0,284.0833333333333,10.416666666666666
128.5,160.0,359.3333333333333,532.1666666666666,4.833333333333333
107.41666666666667,133.0,333.0,282.3,8.25
114.66666666666667,150.0,350.0,254.88888888888889,4.583333333333333
95.91666666666667,150.0,350.0,279.6666666666667,9.166666666666666
110.83333333333333,160.0,360.0,372.27272727272725,12.416666666666666
125.0,114.0,314.0,290.9166666666667,9.583333333333334
96.0,160.0,362.9166666666667,556.8181818181819,4.166666666666667
143.75,150.0,350.0,321.3333333333333,7.0
131.66666666666666,160.0,360.0,256.8181818181818,6.083333333333333
118.91666666666667,160.0,357.5,495.90909090909093,3.9166666666666665
132.5,133.0,333.0,312.4166666666667,13.583333333333334
123.66666666666667,114.0,314.0,203.1818181818182,6.5
82.5,160.0,360.0,308.6363636363636,7.166666666666667
77.5,160.0,360.0,479.6666666666667,19.666666666666668
109.41666666666667,150.0,350.0,365.9166666666667,10.0
146.91666666666666,160.0,360.0,519.1818181818181,4.5
129.16666666666666,150.0,350.0,323.5833333333333,7.083333333333333
111.66666666666667,160.0,360.0,269.25,8.5
99.83333333333333,160.0,349.75,478.8181818181818,4.0
109.41666666666667,150.0,350.0,285.4166666666667,9.5
146.41666666666666,114.0,314.0,210.58333333333334,8.333333333333334
121.91666666666667,150.0,350.0,249.0,6.0
119.0,145.0,345.0,330.5,8.166666666666666
111.5,150.0,350.0,368.5833333333333,11.333333333333334
134.75,160.0,360.0,575.3333333333334,5.333333333333333
